ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name
Sindhi,Sindhi,,26.0,69.0,sind1272,,xd596,Sindhi
Singhalese,Singhalese,,8.0,81.0,sinh1246,,xd692,Sinhala
Slovak,Slovak,,48.545705,18.78479,slov1269,,,Slovak
Slovenian,Slovenian,,46.2543,14.7766,slov1268,,,Slovenian
Spanish,Spanish,,40.4414,-1.11788,stan1288,,xd533,Spanish
Swedish_List,Swedish_List,,59.800634,17.389526,swed1254,,,Swedish
Swedish_Up,Swedish_Up,,59.800634,17.389526,swed1254,,,Swedish
Swedish_VL,Swedish_VL,,59.800634,17.389526,swed1254,,,Swedish
Tadzik,Tadzik,,38.8213,68.5549,taji1245,,,Tajik
Tocharian_A,Tocharian_A,,42.98,89.18,tokh1242,,,Tokharian A
Tocharian_B,Tocharian_B,,41.65,82.9,tokh1243,,,Tokharian B
Ukrainian,Ukrainian,,49.796,29.945,ukra1253,,xd571 xd557,Ukrainian
Umbrian,Umbrian,,42.75,13.02,umbr1253,,,Umbrian
Urdu,Urdu,,25.0,67.0,urdu1245,,,Urdu
Vedic_Sanskrit,Vedic_Sanskrit,,20.0,77.0,sans1269,,xd665,Sanskrit
Vlach,Vlach,,40.616,21.2,arom1237,,,Aromanian
Wakhi,Wakhi,,37.1768,73.9777,wakh1245,,,Wakhi
Walloon,Walloon,,50.2235,5.14509,wall1255,,xd545,Walloon
Waziri,Waziri,,,,waci1238,,,Waciri
Welsh_C,Welsh_C,,52.0,-4.0,wels1247,,,Welsh
Welsh_N,Welsh_N,,52.0,-4.0,wels1247,,,Welsh
